place_id,color_hex,grade_label,sort_order
58ad8108-dfda-4e76-96ae-710fb605b625,#ffc0cb,V0,0
58ad8108-dfda-4e76-96ae-710fb605b625,#ffff00,V1,1
58ad8108-dfda-4e76-96ae-710fb605b625,#ff0000,V2,2
58ad8108-dfda-4e76-96ae-710fb605b625,#0000ff,V3,3
58ad8108-dfda-4e76-96ae-710fb605b625,#ffffff,V4,4
58ad8108-dfda-4e76-96ae-710fb605b625,#87ceeb,V5,5
58ad8108-dfda-4e76-96ae-710fb605b625,#ffa500,V6,6
58ad8108-dfda-4e76-96ae-710fb605b625,#8b4513,V7,7
58ad8108-dfda-4e76-96ae-710fb605b625,#000000,V8,8
1f95daf1-d070-4fa4-bcff-b10a1b9257dc,#ffc0cb,V0,0
1f95daf1-d070-4fa4-bcff-b10a1b9257dc,#ffff00,V1,1
1f95daf1-d070-4fa4-bcff-b10a1b9257dc,#ff0000,V2,2
1f95daf1-d070-4fa4-bcff-b10a1b9257dc,#0000ff,V3,3
1f95daf1-d070-4fa4-bcff-b10a1b9257dc,#ffffff,V4,4
1f95daf1-d070-4fa4-bcff-b10a1b9257dc,#87ceeb,V5,5
1f95daf1-d070-4fa4-bcff-b10a1b9257dc,#ffa500,V6,6
1f95daf1-d070-4fa4-bcff-b10a1b9257dc,#8b4513,V7,7
1f95daf1-d070-4fa4-bcff-b10a1b9257dc,#000000,V8,8
ee80b7d5-1635-4b2c-870a-be3bbbff3f88,#ffc0cb,V0,0
ee80b7d5-1635-4b2c-870a-be3bbbff3f88,#ffff00,V1,1
ee80b7d5-1635-4b2c-870a-be3bbbff3f88,#ff0000,V2,2
ee80b7d5-1635-4b2c-870a-be3bbbff3f88,#0000ff,V3,3
ee80b7d5-1635-4b2c-870a-be3bbbff3f88,#ffffff,V4,4
ee80b7d5-1635-4b2c-870a-be3bbbff3f88,#87ceeb,V5,5
ee80b7d5-1635-4b2c-870a-be3bbbff3f88,#ffa500,V6,6
ee80b7d5-1635-4b2c-870a-be3bbbff3f88,#8b4513,V7,7
ee80b7d5-1635-4b2c-870a-be3bbbff3f88,#000000,V8,8
7d0002d4-f534-48f0-8c64-12590d98df14,#ffffff,Vb,0
7d0002d4-f534-48f0-8c64-12590d98df14,#ffff00,V0-,1
7d0002d4-f534-48f0-8c64-12590d98df14,#ffa500,V0,2
7d0002d4-f534-48f0-8c64-12590d98df14,#008000,V0+,3
7d0002d4-f534-48f0-8c64-12590d98df14,#0000ff,V1-V2,4
7d0002d4-f534-48f0-8c64-12590d98df14,#ff0000,V3-V4,5
7d0002d4-f534-48f0-8c64-12590d98df14,#ffc0cb,V5,6
7d0002d4-f534-48f0-8c64-12590d98df14,#800080,V6,7
7d0002d4-f534-48f0-8c64-12590d98df14,#808080,V7,8
7d0002d4-f534-48f0-8c64-12590d98df14,#8b4513,V8,9
7d0002d4-f534-48f0-8c64-12590d98df14,#000000,V9-V10,10
59ee03ae-1f21-46d2-8e31-2e7ceec1feb8,#ffffff,Vb,0
59ee03ae-1f21-46d2-8e31-2e7ceec1feb8,#ffff00,V0-,1
59ee03ae-1f21-46d2-8e31-2e7ceec1feb8,#ffa500,V0,2
59ee03ae-1f21-46d2-8e31-2e7ceec1feb8,#008000,V0+,3
59ee03ae-1f21-46d2-8e31-2e7ceec1feb8,#0000ff,V1-V2,4
59ee03ae-1f21-46d2-8e31-2e7ceec1feb8,#ff0000,V3-V4,5
59ee03ae-1f21-46d2-8e31-2e7ceec1feb8,#ffc0cb,V5,6
59ee03ae-1f21-46d2-8e31-2e7ceec1feb8,#800080,V6,7
59ee03ae-1f21-46d2-8e31-2e7ceec1feb8,#808080,V7,8
59ee03ae-1f21-46d2-8e31-2e7ceec1feb8,#8b4513,V8,9
59ee03ae-1f21-46d2-8e31-2e7ceec1feb8,#000000,V9-V10,10
4f13535a-434d-4256-8896-772f1a8bc85b,#ffffff,Vb,0
4f13535a-434d-4256-8896-772f1a8bc85b,#ffff00,V0-,1
4f13535a-434d-4256-8896-772f1a8bc85b,#ffa500,V0,2
4f13535a-434d-4256-8896-772f1a8bc85b,#008000,V0+,3
4f13535a-434d-4256-8896-772f1a8bc85b,#0000ff,V1-V2,4
4f13535a-434d-4256-8896-772f1a8bc85b,#ff0000,V3-V4,5
4f13535a-434d-4256-8896-772f1a8bc85b,#ffc0cb,V5,6
4f13535a-434d-4256-8896-772f1a8bc85b,#800080,V6,7
4f13535a-434d-4256-8896-772f1a8bc85b,#808080,V7,8
4f13535a-434d-4256-8896-772f1a8bc85b,#8b4513,V8,9
4f13535a-434d-4256-8896-772f1a8bc85b,#000000,V9-V10,10
1b325f4e-3156-4d87-9fd2-52fa3ac0ec44,#ffffff,Vb,0
1b325f4e-3156-4d87-9fd2-52fa3ac0ec44,#ffff00,V0-,1
1b325f4e-3156-4d87-9fd2-52fa3ac0ec44,#ffa500,V0,2
1b325f4e-3156-4d87-9fd2-52fa3ac0ec44,#008000,V0+,3
1b325f4e-3156-4d87-9fd2-52fa3ac0ec44,#0000ff,V1-V2,4
1b325f4e-3156-4d87-9fd2-52fa3ac0ec44,#ff0000,V3-V4,5
1b325f4e-3156-4d87-9fd2-52fa3ac0ec44,#ffc0cb,V5,6
1b325f4e-3156-4d87-9fd2-52fa3ac0ec44,#800080,V6,7
1b325f4e-3156-4d87-9fd2-52fa3ac0ec44,#808080,V7,8
1b325f4e-3156-4d87-9fd2-52fa3ac0ec44,#8b4513,V8,9
1b325f4e-3156-4d87-9fd2-52fa3ac0ec44,#000000,V9-V10,10
fd12bc00-dcc4-4b0d-a5bc-e2a1ad3c8d79,#ffffff,Vb,0
fd12bc00-dcc4-4b0d-a5bc-e2a1ad3c8d79,#ffff00,V0-,1
fd12bc00-dcc4-4b0d-a5bc-e2a1ad3c8d79,#ffa500,V0,2
fd12bc00-dcc4-4b0d-a5bc-e2a1ad3c8d79,#008000,V0+,3
fd12bc00-dcc4-4b0d-a5bc-e2a1ad3c8d79,#0000ff,V1-V2,4
fd12bc00-dcc4-4b0d-a5bc-e2a1ad3c8d79,#ff0000,V3-V4,5
fd12bc00-dcc4-4b0d-a5bc-e2a1ad3c8d79,#ffc0cb,V5,6
fd12bc00-dcc4-4b0d-a5bc-e2a1ad3c8d79,#800080,V6,7
fd12bc00-dcc4-4b0d-a5bc-e2a1ad3c8d79,#808080,V7,8
fd12bc00-dcc4-4b0d-a5bc-e2a1ad3c8d79,#8b4513,V8,9
fd12bc00-dcc4-4b0d-a5bc-e2a1ad3c8d79,#000000,V9-V10,10
36f64ae8-035a-455e-b859-4f3c35ab08ec,#ffffff,Vb,0
36f64ae8-035a-455e-b859-4f3c35ab08ec,#ffff00,V0-,1
36f64ae8-035a-455e-b859-4f3c35ab08ec,#ffa500,V0,2
36f64ae8-035a-455e-b859-4f3c35ab08ec,#008000,V0+,3
36f64ae8-035a-455e-b859-4f3c35ab08ec,#0000ff,V1-V2,4
36f64ae8-035a-455e-b859-4f3c35ab08ec,#ff0000,V3-V4,5
36f64ae8-035a-455e-b859-4f3c35ab08ec,#ffc0cb,V5,6
36f64ae8-035a-455e-b859-4f3c35ab08ec,#800080,V6,7
36f64ae8-035a-455e-b859-4f3c35ab08ec,#808080,V7,8
36f64ae8-035a-455e-b859-4f3c35ab08ec,#8b4513,V8,9
36f64ae8-035a-455e-b859-4f3c35ab08ec,#000000,V9-V10,10
90bbf53f-bd65-4895-8392-eb263196d35f,#ffffff,Vb,0
90bbf53f-bd65-4895-8392-eb263196d35f,#ffff00,V0-,1
90bbf53f-bd65-4895-8392-eb263196d35f,#ffa500,V0,2
90bbf53f-bd65-4895-8392-eb263196d35f,#008000,V0+,3
90bbf53f-bd65-4895-8392-eb263196d35f,#0000ff,V1-V2,4
90bbf53f-bd65-4895-8392-eb263196d35f,#ff0000,V3-V4,5
90bbf53f-bd65-4895-8392-eb263196d35f,#ffc0cb,V5,6
90bbf53f-bd65-4895-8392-eb263196d35f,#800080,V6,7
90bbf53f-bd65-4895-8392-eb263196d35f,#808080,V7,8
90bbf53f-bd65-4895-8392-eb263196d35f,#8b4513,V8,9
90bbf53f-bd65-4895-8392-eb263196d35f,#000000,V9-V10,10
9a1cc97b-4472-4b73-a4cc-1f421e9f16f1,#ffffff,Vb,0
9a1cc97b-4472-4b73-a4cc-1f421e9f16f1,#ffff00,V0-,1
9a1cc97b-4472-4b73-a4cc-1f421e9f16f1,#ffa500,V0,2
9a1cc97b-4472-4b73-a4cc-1f421e9f16f1,#008000,V0+,3
9a1cc97b-4472-4b73-a4cc-1f421e9f16f1,#0000ff,V1-V2,4
9a1cc97b-4472-4b73-a4cc-1f421e9f16f1,#ff0000,V3-V4,5
9a1cc97b-4472-4b73-a4cc-1f421e9f16f1,#ffc0cb,V5,6
9a1cc97b-4472-4b73-a4cc-1f421e9f16f1,#800080,V6,7
9a1cc97b-4472-4b73-a4cc-1f421e9f16f1,#808080,V7,8
9a1cc97b-4472-4b73-a4cc-1f421e9f16f1,#8b4513,V8,9
9a1cc97b-4472-4b73-a4cc-1f421e9f16f1,#000000,V9-V10,10
732ebb1e-dd5c-405e-a951-7b32da8f6dad,#ffffff,Vb,0
732ebb1e-dd5c-405e-a951-7b32da8f6dad,#ffff00,V0-,1
732ebb1e-dd5c-405e-a951-7b32da8f6dad,#ffa500,V0,2
732ebb1e-dd5c-405e-a951-7b32da8f6dad,#008000,V0+,3
732ebb1e-dd5c-405e-a951-7b32da8f6dad,#0000ff,V1-V2,4
732ebb1e-dd5c-405e-a951-7b32da8f6dad,#ff0000,V3-V4,5
732ebb1e-dd5c-405e-a951-7b32da8f6dad,#ffc0cb,V5,6
732ebb1e-dd5c-405e-a951-7b32da8f6dad,#800080,V6,7
732ebb1e-dd5c-405e-a951-7b32da8f6dad,#808080,V7,8
732ebb1e-dd5c-405e-a951-7b32da8f6dad,#8b4513,V8,9
732ebb1e-dd5c-405e-a951-7b32da8f6dad,#000000,V9-V10,10
d2dd66fc-a03c-4fff-92b2-28255f129eac,#ffffff,Vb,0
d2dd66fc-a03c-4fff-92b2-28255f129eac,#ffff00,V0-,1
d2dd66fc-a03c-4fff-92b2-28255f129eac,#ffa500,V0,2
d2dd66fc-a03c-4fff-92b2-28255f129eac,#008000,V0+,3
d2dd66fc-a03c-4fff-92b2-28255f129eac,#0000ff,V1-V2,4
d2dd66fc-a03c-4fff-92b2-28255f129eac,#ff0000,V3-V4,5
d2dd66fc-a03c-4fff-92b2-28255f129eac,#ffc0cb,V5,6
d2dd66fc-a03c-4fff-92b2-28255f129eac,#800080,V6,7
d2dd66fc-a03c-4fff-92b2-28255f129eac,#808080,V7,8
d2dd66fc-a03c-4fff-92b2-28255f129eac,#8b4513,V8,9
d2dd66fc-a03c-4fff-92b2-28255f129eac,#000000,V9-V10,10
6eebc200-ee6c-4b8d-bbea-05cd9e02499a,#ffffff,Vb,0
6eebc200-ee6c-4b8d-bbea-05cd9e02499a,#ffff00,V0-,1
6eebc200-ee6c-4b8d-bbea-05cd9e02499a,#ffa500,V0,2
6eebc200-ee6c-4b8d-bbea-05cd9e02499a,#008000,V0+,3
6eebc200-ee6c-4b8d-bbea-05cd9e02499a,#0000ff,V1-V2,4
6eebc200-ee6c-4b8d-bbea-05cd9e02499a,#ff0000,V3-V4,5
6eebc200-ee6c-4b8d-bbea-05cd9e02499a,#ffc0cb,V5,6
6eebc200-ee6c-4b8d-bbea-05cd9e02499a,#800080,V6,7
6eebc200-ee6c-4b8d-bbea-05cd9e02499a,#808080,V7,8
6eebc200-ee6c-4b8d-bbea-05cd9e02499a,#8b4513,V8,9
6eebc200-ee6c-4b8d-bbea-05cd9e02499a,#000000,V9-V10,10
