place_id,color_hex,grade_label,sort_order
93d20ace-1d15-4664-b54a-23e35043b8e8,#ffff00,VB,0
93d20ace-1d15-4664-b54a-23e35043b8e8,#ffa500,V0,1
93d20ace-1d15-4664-b54a-23e35043b8e8,#008000,V1,2
93d20ace-1d15-4664-b54a-23e35043b8e8,#00ff00,V2,3
93d20ace-1d15-4664-b54a-23e35043b8e8,#808080,V3,4
93d20ace-1d15-4664-b54a-23e35043b8e8,#87ceeb,V4,5
93d20ace-1d15-4664-b54a-23e35043b8e8,#800080,V5,6
93d20ace-1d15-4664-b54a-23e35043b8e8,#0000ff,V6,7
93d20ace-1d15-4664-b54a-23e35043b8e8,#ffc0cb,V7,8
93d20ace-1d15-4664-b54a-23e35043b8e8,#ff0000,V8,9
276984d2-19cb-4caa-bb67-da0cd913f5b4,#ffff00,VB,0
276984d2-19cb-4caa-bb67-da0cd913f5b4,#ffa500,V0,1
276984d2-19cb-4caa-bb67-da0cd913f5b4,#008000,V1,2
276984d2-19cb-4caa-bb67-da0cd913f5b4,#00ff00,V2,3
276984d2-19cb-4caa-bb67-da0cd913f5b4,#808080,V3,4
276984d2-19cb-4caa-bb67-da0cd913f5b4,#87ceeb,V4,5
276984d2-19cb-4caa-bb67-da0cd913f5b4,#800080,V5,6
276984d2-19cb-4caa-bb67-da0cd913f5b4,#0000ff,V6,7
276984d2-19cb-4caa-bb67-da0cd913f5b4,#ffc0cb,V7,8
276984d2-19cb-4caa-bb67-da0cd913f5b4,#ff0000,V8,9
0fb04995-b7a0-4559-9108-dc79ff407751,#ffffff,V0,0
0fb04995-b7a0-4559-9108-dc79ff407751,#ffff00,V1,1
0fb04995-b7a0-4559-9108-dc79ff407751,#ffa500,V2,2
0fb04995-b7a0-4559-9108-dc79ff407751,#ff0000,V3,3
0fb04995-b7a0-4559-9108-dc79ff407751,#ffc0cb,V4,4
0fb04995-b7a0-4559-9108-dc79ff407751,#800080,V5,5
0fb04995-b7a0-4559-9108-dc79ff407751,#0000ff,V6,6
0fb04995-b7a0-4559-9108-dc79ff407751,#000000,V7,7
e03415b5-f5d9-40b9-af10-8280877e3434,#ffc0cb,V0,0
e03415b5-f5d9-40b9-af10-8280877e3434,#ffff00,V1,1
e03415b5-f5d9-40b9-af10-8280877e3434,#ff0000,V2,2
e03415b5-f5d9-40b9-af10-8280877e3434,#0000ff,V3,3
e03415b5-f5d9-40b9-af10-8280877e3434,#ffffff,V4,4
e03415b5-f5d9-40b9-af10-8280877e3434,#87ceeb,V5,5
e03415b5-f5d9-40b9-af10-8280877e3434,#ffa500,V6,6
e03415b5-f5d9-40b9-af10-8280877e3434,#8b4513,V7,7
e03415b5-f5d9-40b9-af10-8280877e3434,#000000,V8,8
16389d84-4b5d-46d3-9df1-afa8ae7b6424,#ffc0cb,V0,0
16389d84-4b5d-46d3-9df1-afa8ae7b6424,#ffff00,V1,1
16389d84-4b5d-46d3-9df1-afa8ae7b6424,#ff0000,V2,2
16389d84-4b5d-46d3-9df1-afa8ae7b6424,#0000ff,V3,3
16389d84-4b5d-46d3-9df1-afa8ae7b6424,#ffffff,V4,4
16389d84-4b5d-46d3-9df1-afa8ae7b6424,#87ceeb,V5,5
16389d84-4b5d-46d3-9df1-afa8ae7b6424,#ffa500,V6,6
16389d84-4b5d-46d3-9df1-afa8ae7b6424,#8b4513,V7,7
16389d84-4b5d-46d3-9df1-afa8ae7b6424,#000000,V8,8
7f99cb0b-fcab-4f76-b9ad-4f28c2893f5c,#ff0000,VB,0
7f99cb0b-fcab-4f76-b9ad-4f28c2893f5c,#ffa500,V0-,1
7f99cb0b-fcab-4f76-b9ad-4f28c2893f5c,#ffff00,V0,2
7f99cb0b-fcab-4f76-b9ad-4f28c2893f5c,#008000,V0+,3
7f99cb0b-fcab-4f76-b9ad-4f28c2893f5c,#0000ff,V1-V2,4
7f99cb0b-fcab-4f76-b9ad-4f28c2893f5c,#ffc0cb,V3-V4,5
7f99cb0b-fcab-4f76-b9ad-4f28c2893f5c,#800080,V5,6
7f99cb0b-fcab-4f76-b9ad-4f28c2893f5c,#808080,V6,7
7f99cb0b-fcab-4f76-b9ad-4f28c2893f5c,#000000,V7,8
